points/0/_label,points/0/_occluded,points/0/_source,points/0/_points,points/0/_z_order,points/1/_label,points/1/_occluded,points/1/_source,points/1/_points,points/1/_z_order,points/2/_label,points/2/_occluded,points/2/_source,points/2/_points,points/2/_z_order,points/3/_label,points/3/_occluded,points/3/_source,points/3/_points,points/3/_z_order,points/4/_label,points/4/_occluded,points/4/_source,points/4/_points,points/4/_z_order,points/5/_label,points/5/_occluded,points/5/_source,points/5/_points,points/5/_z_order,points/6/_label,points/6/_occluded,points/6/_source,points/6/_points,points/6/_z_order,points/7/_label,points/7/_occluded,points/7/_source,points/7/_points,points/7/_z_order,_id,_name,_width,_height
K8,0,manual,"48.60,53.65",0,K2,0,manual,"34.40,45.15",0,K3,0,manual,"36.40,36.65",0,K7,0,manual,"46.90,44.75",0,K6,0,manual,"45.70,36.65",0,K1,0,manual,"32.70,52.80",0,K5,0,manual,"44.30,27.80",0,K4,0,manual,"39.20,27.75",0,205,Cone_99.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Cone_98.jpg,80,80
K4,0,manual,"36.50,12.25",0,K5,0,manual,"46.90,12.45",0,K6,0,manual,"49.70,28.65",0,K1,0,manual,"24.30,58.55",0,K2,0,manual,"28.80,43.50",0,K3,0,manual,"32.70,28.75",0,K8,0,manual,"57.10,59.80",0,K7,0,manual,"52.90,44.15",0,203,Cone_97.jpg,80,80
K1,0,manual,"27.40,55.65",0,K6,0,manual,"47.40,31.85",0,K5,0,manual,"44.80,19.15",0,K3,0,manual,"34.20,31.65",0,K8,0,manual,"53.10,56.25",0,K7,0,manual,"49.40,44.15",0,K2,0,manual,"31.40,43.85",0,K4,0,manual,"37.60,18.85",0,202,Cone_96.jpg,80,80
K2,0,manual,"37.20,44.25",0,K7,0,manual,"49.70,45.15",0,K3,0,manual,"39.80,36.95",0,K8,0,manual,"51.40,53.45",0,K4,0,manual,"42.00,28.55",0,K6,0,manual,"48.60,36.85",0,K5,0,manual,"47.70,28.75",0,K1,0,manual,"33.10,52.85",0,201,Cone_95.jpg,80,80
K4,0,manual,"37.50,19.75",0,K5,0,manual,"45.70,19.80",0,K1,0,manual,"27.40,56.20",0,K6,0,manual,"47.50,31.95",0,K2,0,manual,"31.40,43.65",0,K3,0,manual,"34.30,31.55",0,K8,0,manual,"53.20,56.35",0,K7,0,manual,"50.50,43.85",0,200,Cone_94.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,Cone_93.jpg,80,80
K5,0,manual,"45.80,16.35",0,K6,0,manual,"48.70,30.35",0,K1,0,manual,"27.40,58.95",0,K7,0,manual,"52.40,43.85",0,K8,0,manual,"56.60,58.05",0,K2,0,manual,"30.50,44.45",0,K3,0,manual,"33.50,30.25",0,K4,0,manual,"37.20,16.65",0,198,Cone_92.jpg,80,80
K2,0,manual,"22.10,57.75",0,K8,0,manual,"52.30,63.25",0,K7,0,manual,"51.70,57.85",0,K3,0,manual,"30.70,17.65",0,K4,0,manual,"34.10,4.65",0,K6,0,manual,"43.80,17.45",0,K1,0,manual,"20.60,62.95",0,K5,0,manual,"42.60,4.45",0,197,Cone_91.jpg,80,80
K4,0,manual,"38.80,15.85",0,K6,0,manual,"50.30,31.05",0,K5,0,manual,"48.30,16.05",0,K1,0,manual,"23.60,58.05",0,K3,0,manual,"34.40,31.25",0,K2,0,manual,"29.60,44.45",0,K8,0,manual,"55.60,60.75",0,K7,0,manual,"53.00,45.65",0,196,Cone_90.jpg,80,80
